round,per_round_epsilon,accuracy,precision,recall,f1_score,roc_auc,pr_auc,num_samples
40,5.0,0.5428772494219363,0.47719044170890657,0.14696699375557537,0.2247229326513214,0.5074025889517397,0.45466929634072467,9947
41,5.0,,,,,,,
42,5.0,,,,,,,
43,5.0,,,,,,,
44,5.0,,,,,,,
45,5.0,,,,,,,
46,5.0,,,,,,,
47,5.0,,,,,,,
48,5.0,,,,,,,
49,5.0,,,,,,,
50,5.0,0.5279983914748165,0.44200109950522265,0.1793041926851026,0.2551166111375536,0.4967544210725532,0.4492134425113645,9947
1,25.0,0.19379221050421555,39788,0.5492108173318588,0.0,0.0,0.0,0.5005282067033385,0.44855784877445937,9947
1,0.5,9.689610525210778,39788,,,,,,,
2,0.5,9.689610525210778,39788,,,,,,,
3,0.5,9.689610525210778,39788,,,,,,,
4,0.5,9.689610525210778,39788,,,,,,,
5,0.5,9.689610525210778,39788,,,,,,,
6,0.5,9.689610525210778,39788,,,,,,,
7,0.5,9.689610525210778,39788,,,,,,,
8,0.5,9.689610525210778,39788,,,,,,,
9,0.5,9.689610525210778,39788,,,,,,,
10,0.5,9.689610525210778,39788,0.5038705137227305,0.45161982407208756,0.46944692239072255,0.46036085292509565,0.5007860641607649,0.45117912471883415,9947
11,0.5,9.689610525210778,39788,,,,,,,
12,0.5,9.689610525210778,39788,,,,,,,
13,0.5,9.689610525210778,39788,,,,,,,
14,0.5,9.689610525210778,39788,,,,,,,
15,0.5,9.689610525210778,39788,,,,,,,
16,0.5,9.689610525210778,39788,,,,,,,
17,0.5,9.689610525210778,39788,,,,,,,
18,0.5,9.689610525210778,39788,,,,,,,
19,0.5,9.689610525210778,39788,,,,,,,
20,0.5,9.689610525210778,39788,0.5491102845078918,0.0,0.0,0.0,0.49990847519677833,0.45078918266814116,9947
21,0.5,9.689610525210778,39788,,,,,,,
22,0.5,9.689610525210778,39788,,,,,,,
23,0.5,9.689610525210778,39788,,,,,,,
24,0.5,9.689610525210778,39788,,,,,,,
25,0.5,9.689610525210778,39788,,,,,,,
26,0.5,9.689610525210778,39788,,,,,,,
27,0.5,9.689610525210778,39788,,,,,,,
28,0.5,9.689610525210778,39788,,,,,,,
29,0.5,9.689610525210778,39788,,,,,,,
30,0.5,9.689610525210778,39788,0.5385543379913542,0.4308093994778068,0.0735950044603033,0.12571428571428572,0.4968926880255022,0.44931877043513263,9947
31,0.5,9.689610525210778,39788,,,,,,,
32,0.5,9.689610525210778,39788,,,,,,,
33,0.5,9.689610525210778,39788,,,,,,,
34,0.5,9.689610525210778,39788,,,,,,,
35,0.5,9.689610525210778,39788,,,,,,,
36,0.5,9.689610525210778,39788,,,,,,,
37,0.5,9.689610525210778,39788,,,,,,,
38,0.5,9.689610525210778,39788,,,,,,,
39,0.5,9.689610525210778,39788,,,,,,,
40,0.5,9.689610525210778,39788,0.4757213230119634,0.45248927596516314,0.7763157894736842,0.57173359612384,0.5026554235671551,0.4521089919381977,9947
41,0.5,9.689610525210778,39788,,,,,,,
42,0.5,9.689610525210778,39788,,,,,,,
43,0.5,9.689610525210778,39788,,,,,,,
44,0.5,9.689610525210778,39788,,,,,,,
45,0.5,9.689610525210778,39788,,,,,,,
46,0.5,9.689610525210778,39788,,,,,,,
47,0.5,9.689610525210778,39788,,,,,,,
48,0.5,9.689610525210778,39788,,,,,,,
49,0.5,9.689610525210778,39788,,,,,,,
50,0.5,9.689610525210778,39788,0.4685834925103046,0.45627044711014175,0.9330954504906334,0.6128607001611249,0.5102050563820547,0.455903725581908,9947
1,0.5,9.689610525210778,39788,,,,,,,
2,0.5,9.689610525210778,39788,,,,,,,
3,0.5,9.689610525210778,39788,,,,,,,
4,0.5,9.689610525210778,39788,,,,,,,
5,0.5,9.689610525210778,39788,,,,,,,
6,0.5,9.689610525210778,39788,,,,,,,
7,0.5,9.689610525210778,39788,,,,,,,
8,0.5,9.689610525210778,39788,,,,,,,
9,0.5,9.689610525210778,39788,,,,,,,
10,0.5,9.689610525210778,39788,0.48034583291444655,0.45779420825631545,0.8285013380909901,0.5897293435986983,0.5115415348701335,0.45659285574130515,9947
11,0.5,9.689610525210778,39788,,,,,,,
12,0.5,9.689610525210778,39788,,,,,,,
13,0.5,9.689610525210778,39788,,,,,,,
14,0.5,9.689610525210778,39788,,,,,,,
15,0.5,9.689610525210778,39788,,,,,,,
16,0.5,9.689610525210778,39788,,,,,,,
17,0.5,9.689610525210778,39788,,,,,,,
18,0.5,9.689610525210778,39788,,,,,,,
19,0.5,9.689610525210778,39788,,,,,,,
20,0.5,9.689610525210778,39788,0.45078918266814116,0.45078918266814116,1.0,0.621439955651029,0.5,0.45078918266814116,9947
21,0.5,9.689610525210778,39788,,,,,,,
22,0.5,9.689610525210778,39788,,,,,,,
23,0.5,9.689610525210778,39788,,,,,,,
24,0.5,9.689610525210778,39788,,,,,,,
25,0.5,9.689610525210778,39788,,,,,,,
26,0.5,9.689610525210778,39788,,,,,,,
27,0.5,9.689610525210778,39788,,,,,,,
28,0.5,9.689610525210778,39788,,,,,,,
29,0.5,9.689610525210778,39788,,,,,,,
30,0.5,9.689610525210778,39788,0.45088971549210816,0.4508345063342047,1.0,0.6214830214830215,0.5000915248032216,0.4508345063342047,9947
31,0.5,9.689610525210778,39788,,,,,,,
32,0.5,9.689610525210778,39788,,,,,,,
33,0.5,9.689610525210778,39788,,,,,,,
34,0.5,9.689610525210778,39788,,,,,,,
35,0.5,9.689610525210778,39788,,,,,,,
36,0.5,9.689610525210778,39788,,,,,,,
37,0.5,9.689610525210778,39788,,,,,,,
38,0.5,9.689610525210778,39788,,,,,,,
39,0.5,9.689610525210778,39788,,,,,,,
40,0.5,9.689610525210778,39788,0.5367447471599477,0.4504,0.12555753791257807,0.1963725148238577,0.49990122914299967,0.4507403178505311,9947
41,0.5,9.689610525210778,39788,,,,,,,
42,0.5,9.689610525210778,39788,,,,,,,
43,0.5,9.689610525210778,39788,,,,,,,
44,0.5,9.689610525210778,39788,,,,,,,
45,0.5,9.689610525210778,39788,,,,,,,
46,0.5,9.689610525210778,39788,,,,,,,
47,0.5,9.689610525210778,39788,,,,,,,
48,0.5,9.689610525210778,39788,,,,,,,
49,0.5,9.689610525210778,39788,,,,,,,
50,0.5,9.689610525210778,39788,0.46787976274253545,0.450640634533252,0.8235950044603033,0.5825380550516602,0.49975283812617943,0.45066683916632455,9947
1,0.5,14.534415787816167,39788,,,,,,,
2,0.5,14.534415787816167,39788,,,,,,,
3,0.5,14.534415787816167,39788,,,,,,,
4,0.5,14.534415787816167,39788,,,,,,,
5,0.5,14.534415787816167,39788,,,,,,,
6,0.5,14.534415787816167,39788,,,,,,,
7,0.5,14.534415787816167,39788,,,,,,,
8,0.5,14.534415787816167,39788,,,,,,,
9,0.5,14.534415787816167,39788,,,,,,,
10,0.5,14.534415787816167,39788,0.5232733487483664,0.45554789800137835,0.29482604817127567,0.35797454643920934,0.5028038349953944,0.4521921759042115,9947
11,0.5,14.534415787816167,39788,,,,,,,
12,0.5,14.534415787816167,39788,,,,,,,
13,0.5,14.534415787816167,39788,,,,,,,
14,0.5,14.534415787816167,39788,,,,,,,
15,0.5,14.534415787816167,39788,,,,,,,
16,0.5,14.534415787816167,39788,,,,,,,
